Model,Dataset,Dimension,Type,MSE,MSE,RMSE,RMSE,MAE,MAE,Spearman,Spearman,Kendall,Kendall,Pearson,Pearson
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dsr1,GEval,esnli,continuous_R2CCP,0.904486220760234,0.18860713777348417,0.9466538393274277,0.0930226791341376,0.8024780701754386,0.09480613820226388,0.4227247903114445,0.10013053397495492,0.3341687754179192,0.0803533664314069,0.39486938235297475,0.10749996994109097
dsr1,GEval,esnli,discrete_R2CCP,0.9157529239766082,0.1880429278391798,0.9526502707695493,0.09233726030186937,0.7916666666666666,0.09897897946688042,0.40481192128679166,0.09157188177515924,0.35468533342833897,0.08104149672038205,0.3784689239693543,0.10384823621727077
dsr1,GEval,gsm8k,continuous_R2CCP,2.2321269333333333,0.26903911106958384,1.4913746981417442,0.09056399761925914,1.28311,0.1495467879732074,0.5398055218991452,0.07111069642861162,0.4319128099339903,0.05842374189277336,0.5562156038163952,0.054659599995852674
dsr1,GEval,gsm8k,discrete_R2CCP,2.2564374999999997,0.28843070634021234,1.499162780139059,0.09621344077224843,1.28125,0.1519595425967283,0.5392843520876673,0.05359040854956097,0.4717897773962148,0.0447993232544618,0.5453689258861619,0.05930824417852066
dsr1,SocREval,cosmos,continuous_R2CCP,1.8532169132653062,0.18381398909090665,1.3597251709016107,0.06719277117747839,1.1508316326530612,0.08054524374880381,0.4677305926775282,0.049590857586558644,0.361585683250822,0.037000844347389275,0.463031881644204,0.06589826473074267
dsr1,SocREval,cosmos,discrete_R2CCP,1.8751488095238096,0.19635642040223425,1.367547443901718,0.07165144223362882,1.1460034013605442,0.08685797457763814,0.44893942579196894,0.1053309417433113,0.3811655034006496,0.08905904115908683,0.44697567589280035,0.10318648802455573
dsr1,SocREval,drop,continuous_R2CCP,1.264137261904762,0.16504099594959115,1.1221279233302133,0.07167589110893845,0.9136079365079366,0.06913940525625661,0.6021866304069018,0.05003445492430119,0.4760858703984811,0.04191628352727683,0.6326436219880291,0.05591940098697858
dsr1,SocREval,drop,discrete_R2CCP,1.2895238095238095,0.17171523195434835,1.1332581938793456,0.0736932752918572,0.906984126984127,0.07303324321596841,0.5946920269971824,0.06308411993251446,0.5152591269560676,0.05633781323371178,0.6188740419946142,0.06019280169905629
dsr1,SocREval,esnli,continuous_R2CCP,0.7165178728070175,0.12079066202020049,0.8437915352892413,0.06861553426199814,0.7078679337231969,0.06638403969806173,0.6145842204643455,0.05858009005195008,0.48977972606522674,0.05299727569077895,0.6095199627628584,0.06090188075433309
dsr1,SocREval,esnli,discrete_R2CCP,0.7343140838206628,0.12136294392179187,0.8542819413820302,0.06848472826076878,0.6952972709551657,0.0730333146935386,0.5798231521608966,0.056781614398967215,0.5171855979246246,0.055422884703896204,0.5838815328705782,0.0659678608506178
dsr1,SocREval,gsm8k,continuous_R2CCP,1.848708725,0.4750981711009268,1.3489989950398602,0.17293741058778395,1.0481583333333333,0.3252089246462037,0.5950729514515055,0.06681565392481333,0.47737949980554156,0.053915948131974,0.6775726868728501,0.10718207151567682
dsr1,SocREval,gsm8k,discrete_R2CCP,1.8908541666666667,0.48854718660337676,1.3643347630712983,0.17452839194531636,1.0450833333333334,0.33237551684112093,0.6368932160989981,0.13297874839414514,0.577416508493214,0.12553791181643006,0.6613778080518687,0.147415141842204
qwen,Summeval,consistency,continuous_R2CCP,0.46867570581896556,0.04588670312552524,0.6838068978748512,0.03350433601704891,0.3957631465517242,0.031580082944744646,0.46454307895728025,0.02884786885158629,0.3783069842996181,0.023060748682062177,0.6981487810605904,0.03542697747937778
qwen,Summeval,consistency,discrete_R2CCP,0.46896645043103447,0.04811746306381188,0.6839393265043909,0.035157804793371106,0.38658318965517247,0.03977069086464476,0.5376682420142974,0.04782139114801594,0.49767155552360576,0.04704265604733727,0.6975358224381242,0.03603881524891306
qwen,Summeval,coherence,continuous_R2CCP,0.6748812165948276,0.024530370110764,0.8213812254463425,0.014891120668845115,0.6594459051724137,0.013031078950986643,0.6029644272565817,0.019548674662433145,0.44394388743811336,0.016386428130076704,0.6134418421351139,0.018919367826946722
qwen,Summeval,coherence,discrete_R2CCP,0.6775616659482759,0.024505988584134022,0.8230122563008182,0.014835124681041955,0.6587215517241379,0.01281243636593592,0.6004912482861243,0.020168165892276418,0.4563259594968846,0.017831708161677787,0.6115615454780794,0.019501801471469845
qwen,Summeval,fluency,continuous_R2CCP,0.4140670135416667,0.028811599712826937,0.6431104969195299,0.0221881210898655,0.4859222916666667,0.03427773860554166,0.3399768636373681,0.02376275174883688,0.26867085726243073,0.019217055272435328,0.5360603426666383,0.032637060054874906
qwen,Summeval,fluency,discrete_R2CCP,0.415914040625,0.028274851761990245,0.6445634599445105,0.021623424304437852,0.48456812499999996,0.032938602037361056,0.34151567365505525,0.02756943303887708,0.306445567096628,0.025761961407446344,0.5316363864290362,0.03167161540673715
qwen,Summeval,relevance,continuous_R2CCP,0.40681573125,0.018262692761465665,0.637665133595886,0.014344600551198874,0.5015758333333333,0.010313579845936432,0.570950367767907,0.016031723158590135,0.4253805827387421,0.013445454746294725,0.6076456911144551,0.019346179886300864
